col1,SDSS_NAME,RA,DEC,PLATE,MJD,FIBERID,Z,M_I,Type
J1023+2219,none,155.84272,22.321296,-99,-99,-99,-99.0,-99.0,WISE
J1037-0736,none,159.491631,-7.607362,-99,-99,-99,-99.0,-99.0,WISE
J1112+2809,none,168.055854,28.165137,-99,-99,-99,-99.0,-99.0,WISE
J1246+1805,none,191.51827,18.089036,-99,-99,-99,-99.0,-99.0,WISE
J1254-0606,none,193.521438,-6.109209,-99,-99,-99,-99.0,-99.0,WISE
J1333-0349,none,203.334269,-3.832307,-99,-99,-99,-99.0,-99.0,WISE
J1347+4505,none,206.836689,45.098706,-99,-99,-99,-99.0,-99.0,WISE
J1357-0329,none,209.44383,-3.484817,-99,-99,-99,-99.0,-99.0,WISE
J1413+0257,none,213.454848,2.953648,-99,-99,-99,-99.0,-99.0,WISE
J1507-0549,none,226.962335,-5.819718,-99,-99,-99,-99.0,-99.0,WISE
J1512-0533,none,228.096364,-5.5501,-99,-99,-99,-99.0,-99.0,WISE
J1546+1500,none,236.641541,15.010193,-99,-99,-99,-99.0,-99.0,WISE
J1609+4306,none,242.441175,43.106462,-99,-99,-99,-99.0,-99.0,WISE
J0742+2704,074248.40+270412.2,115.70169,27.07007,1059,52618,243,0.6264,-23.98811608915010,"SDSS,WISE"
J0751+3154,075130.56+315414.3,117.877369,31.903976,890,52583,174,1.852615,-26.45821103742700,"SDSS,WISE"
J0800+3124,080010.70+312457.0,120.044587,31.415842,1061,52641,187,1.9342,-27.204593297070100,"SDSS,WISE"
J0807+2102,080704.32+210208.6,121.768022,21.035739,1924,53330,234,1.5654,-25.86270811280860,"SDSS,WISE"
J0832+2302,083247.64+230234.1,128.19850528905500,23.042827998138600,4478,55600,947,0.943,-24.034588287914700,"SDSS,WISE"
J0950+5128,095036.75+512838.1,147.6531563911540,51.477257639208500,7287,57042,86,0.21420875191688500,-22.580542294192600,SDSS
J1157+3142,115733.23+314227.0,179.38846240616100,31.707525570513400,4601,55589,182,0.891,-24.460553938019500,"SDSS,WISE"
J1204+1918,120452.49+191822.3,181.2187343805560,19.306207581330400,5846,56017,858,2.344,-26.92760086002810,"SDSS,WISE"
J1208+4741,120857.92+474156.3,182.2413633342050,47.69897977160840,7424,57160,492,1.0892645120620700,-23.992851229314400,"SDSS,WISE"
J1447+0512,144716.22+051226.5,221.817586,5.207377,1829,53494,82,1.739787,-26.373061522401200,"SDSS,WISE"
J1514+4000,151404.96+400049.4,228.5207,40.013748,1292,52736,246,2.11011,1.0,SDSS
J1603+1809,160318.74+180904.9,240.8281226780350,18.151375104786900,3925,55338,776,3.246,-27.886936491896100,SDSS
J2109-0644,210916.85-064436.6,317.320217,-6.743503,638,52081,438,1.081143,-26.106614924808600,SDSS
